id,id_tempat,jam_buka,jam_tutup,hari
1,1,00:00,23:59,senin
2,2,00:00,23:59,senin
3,3,00:00,23:59,senin
4,4,00:00,23:59,senin
5,5,16:00,18:00,senin
6,6,00:00,00:00,senin
7,7,00:00,23:59,senin
8,8,00:00,00:00,senin
9,9,00:00,23:59,senin
10,10,00:00,23:59,senin
11,11,05:00,16:00,senin
12,12,00:00,00:00,senin
13,13,00:00,23:59,senin
14,14,08:00,16:00,senin
15,15,00:00,23:59,senin
16,16,08:00,17:00,senin
17,17,06:00,18:00,senin
18,18,09:00,17:00,senin
19,19,07:30,16:00,senin
20,20,09:00,17:00,senin
21,21,00:00,23:59,senin
22,22,09:00,21:00,senin
23,23,00:00,23:59,senin
24,24,08:00,21:00,senin
25,25,08:30,14:00,senin
26,26,00:00,23:59,senin
27,27,00:00,23:59,senin
28,28,10:00,21:00,senin
29,29,07:00,18:00,senin
30,30,00:00,23:59,senin
31,31,09:00,17:00,senin
32,32,08:30,21:00,senin
33,33,00:00,23:59,senin
34,34,07:00,17:00,senin
35,35,11:00,21:00,senin
36,36,09:00,21:00,senin
37,37,00:00,23:59,senin
38,38,00:00,00:00,senin
39,39,07:00,16:00,senin
40,40,08:00,21:00,senin
41,41,00:00,00:00,senin
42,42,10:00,21:00,senin
43,43,17:00,23:59,senin
44,44,13:00,17:00,senin
45,45,09:00,17:00,senin
46,46,00:00,23:59,senin
47,47,00:00,00:00,senin
48,48,09:00,18:00,senin
49,49,00:00,23:59,senin
50,50,06:00,21:00,senin
51,51,00:00,23:59,senin
52,52,00:00,23:59,senin
53,53,12:00,22:00,senin
54,54,00:00,00:00,senin
55,55,07:30,16:30,senin
56,56,08:00,21:00,senin
57,57,08:00,21:00,senin
58,58,08:00,17:00,senin
59,59,03:15,23:30,senin
60,60,08:00,16:00,senin
61,61,10:00,23:00,senin
62,62,06:30,16:30,senin
63,63,07:30,16:00,senin
64,64,07:00,18:00,senin
65,65,08:00,17:00,senin
66,66,10:00,22:00,senin
67,67,09:00,16:00,senin
68,68,09:00,15:00,senin
69,69,08:30,14:00,senin
70,70,08:30,16:00,senin
71,71,08:00,21:00,senin
72,72,09:00,15:00,senin
73,73,00:00,23:59,senin
74,74,00:00,23:59,senin
75,75,06:30,17:00,senin
76,76,07:30,16:00,senin
77,77,08:00,14:00,senin
78,78,09:00,16:00,senin
79,79,06:00,18:00,senin
80,80,00:00,00:00,senin
81,81,00:00,00:00,senin
